KEYWORD_NAME,TAG_TYPE,MODULE,SOURCE_FILE,DOCUMENTATION,ARGUMENTS,NORMALIZED_TEXT
Page Theme Should Be Desired Mode,Unknown,Common,Resource/Common/page.resource,Gherkin wrapper for idempotent theme switching.,${DESIRED_MODE},page theme desired mode gherkin wrapper idempotent theme switching desired mode
Section Should Be Visible,Unknown,Common,Resource/Common/section.resource,Assert that a section locator is visible.,${NAME},section visible assert that section locator visible name
Section Should Contain Text,Unknown,Common,Resource/Common/section.resource,Assert that a section locator contains expected text.,${NAME}    ${EXPECTED_TEXT},section contain text assert that section locator contains expected text name expected text
Scroll To Section,Unknown,Common,Resource/Common/section.resource,Scroll to a section locator by name.,${NAME},scroll section scroll section locator by name name
The section should be updated with a new value,Unknown,Common,Resource/Common/section.resource,Assert that a section value changes after clicking its refresh/reset button.,${SECTION}    ${BUTTON_NAME}=New Quote,section updated new value assert that section value changes after clicking its refresh reset button section button name new quote
Section Value Should Change After Clicking Button,Unknown,Common,Resource/Common/section.resource,Click a button and verify the section text changed from its previous value.,${SECTION}    ${BUTTON_NAME}    ${old_value},section value change after clicking button click button verify section text changed from its previous value section button name old value
The section should be updated after clicking the button,Unknown,Common,Resource/Common/section.resource,Gherkin wrapper for asserting a section updates after clicking any button.,${SECTION}    ${BUTTON_NAME},section updated after clicking button gherkin wrapper asserting section updates after clicking any button section button name
Section Item Count Should Be At Least Items,Unknown,Common,Resource/Common/section.resource,Assert that list locator has at least expected item count.,${NAME}    ${MIN_COUNT}=1,section item count at least items assert that list locator has at least expected item count name min count 1
Section Item Count,Unknown,Common,Resource/Common/section.resource,Assert a section contains an exact number of child items.,${NAME}    ${ITEM_SELECTOR}=AUTO    ${EXPECTED_COUNT}=0,section item count assert section contains exact number child items name item selector auto expected count 0
Resolve Section Item Selector,Unknown,Common,Resource/Common/section.resource,Resolve effective item selector for a section.,${NAME}    ${ITEM_SELECTOR}=AUTO,resolve section item selector resolve effective item selector section name item selector auto
Section Should Be Empty,Unknown,Common,Resource/Common/section.resource,Assert that a section has no child items.,${NAME},section empty assert that section has no child items name
Validate Section Is In View,Unknown,Common,Resource/Common/section.resource,Assert that the section is currently inside the viewport.,${NAME},validate section in view assert that section currently inside viewport name
Click Tab,Unknown,Common,Resource/Common/tab.resource,Click a tab locator by logical name.,${NAME},click tab click tab locator by logical name name
Tab Should Be Visible,Unknown,Common,Resource/Common/tab.resource,Assert that a tab locator is visible.,${NAME},tab visible assert that tab locator visible name
Click Text,Unknown,Common,Resource/Common/text.resource,Click a text locator by logical name.,${NAME},click text click text locator by logical name name
Text Should Be Visible,Unknown,Common,Resource/Common/text.resource,Assert that a text locator is visible.,${NAME},text visible assert that text locator visible name
Fill Textbox With Value,Unknown,Common,Resource/Common/textbox.resource,Fill a textbox locator with provided value.,${TEXTBOX}    ${VALUE},fill textbox value fill textbox locator provided value textbox value
Fill Textbox,Unknown,Common,Resource/Common/textbox.resource,Fill a textbox locator with provided value.,${TEXTBOX}    ${VALUE},fill textbox fill textbox locator provided value textbox value
Clear Textbox,Unknown,Common,Resource/Common/textbox.resource,Clear a textbox locator value.,${TEXTBOX},clear textbox clear textbox locator value textbox
Textbox Should Be Visible,Unknown,Common,Resource/Common/textbox.resource,validate that a textbox locator is visible.,${TEXTBOX},textbox visible validate that textbox locator visible textbox
Textbox Contain Value,Unknown,Common,Resource/Common/textbox.resource,validate textbox value contains expected text.,${TEXTBOX}    ${EXPECTED_VALUE},textbox contain value validate textbox value contains expected text textbox expected value
Textbox Should Be Empty,Unknown,Common,Resource/Common/textbox.resource,validate that a textbox locator is empty.,${TEXTBOX},textbox empty validate that textbox locator empty textbox
Set Value In The Textbox,Unknown,Common,Resource/Common/textbox.resource,Gherkin wrapper for filling a textbox with a value.,${TEXTBOX}    ${VALUE},set value in textbox gherkin wrapper filling textbox value textbox value
